Num_Acc,jour,mois,an,hrmn,lum,dep,com,agg,int,atm,col,adr,lat,long
201900038454,19,6,2019,20:30,1,75,75101,2,3,3,6,RUE SAINT HONORE,48,
201900038455,22,6,2019,18:30,1,75,75103,2,2,1,6,BOULEVARD DE SEBASTOPOL,48,
201900038456,21,6,2019,13:30,1,75,75102,2,2,1,3,BOULEVARD MONTMARTRE,48,
201900038457,20,6,2019,9:30,1,75,75103,2,4,2,3,RUE DE TURBIGO,48,
201900038458,21,6,2019,12:15,1,94,94068,2,1,1,3,FOCH (AV),48,
201900038459,21,6,2019,14:05,1,94,94052,2,1,1,6,ALBERT 1ER (BD),48,
201900038460,21,6,2019,12:30,1,94,94046,2,3,1,3,JEAN JAURES (R),48,
201900038461,19,6,2019,16:30,1,94,94016,2,1,1,4,PRESIDENT WILSON (AV DU),48,
201900038462,21,6,2019,21:55,2,94,94041,2,1,1,3,DANIELLE CASANOVA (AV),48,
201900038463,22,6,2019,21:00,1,94,94065,2,1,1,6,ALBERT 1ER (BD),48,
201900038464,22,6,2019,13:30,1,94,94034,2,4,1,2,HUIT MAI 1945 (AV DU),48,
201900038465,21,6,2019,15:45,1,94,94073,2,1,1,2,LUXEMBOURG (AV DU),48,
201900038466,20,6,2019,18:15,1,94,94073,2,1,1,4,RENE PANHARD (AV),48,
201900038467,21,6,2019,8:35,1,94,94022,2,1,1,6,VICTOR HUGO (AV),48,
201900038468,22,6,2019,15:15,1,94,94060,2,9,1,2,Hippodrome (AV),48,
201900038469,20,6,2019,20:05,1,94,94018,2,1,1,3,PARIS (R DE),48,
201900038470,22,6,2019,20:45,2,94,94041,2,3,1,3,DANIELLE CASANOVA (AV),48,
201900038471,20,6,2019,8:00,1,94,94017,2,2,3,3,STALINGRAD (BD DE),48,
201900038472,22,6,2019,13:05,1,94,94075,2,3,1,3,MANDRES (R DE),48,
201900038473,21,6,2019,19:55,1,94,94071,2,1,1,6,GAMBETTA (R),48,
201900038474,21,6,2019,8:00,1,94,94044,2,1,1,6,VERDUN (AV DE),48,
201900038475,19,6,2019,16:40,1,94,94002,2,1,1,3,JEAN BAPTISTE CLEMENT (QU),48,
201900038476,21,6,2019,8:10,1,93,93073,2,1,1,6,CHARDONNERETS (RUE DES),48,
201900038477,22,6,2019,19:20,1,93,93071,2,1,1,6,AMPERE (AVENUE),48,
201900038478,22,6,2019,13:50,1,93,93070,2,1,1,2,LANDY(RUE):N° 1 AU 43,48,
201900038479,21,6,2019,15:20,1,93,93070,2,1,1,3,JEAN-JAURES (BD),48,
201900038480,21,6,2019,18:00,1,93,93070,2,1,1,3,JEAN-JAURES (BD),48,
201900038481,20,6,2019,4:50,2,93,93070,2,1,2,2,MICHELET (AVE) : DU 1 AU 103,48,
201900038482,14,6,2019,21:15,1,93,93066,2,1,7,6,"""SEMBAT MARCEL (BD)",,
201900038483,22,6,2019,14:15,1,93,93064,2,3,1,5,LAVOISIER (RUE),48,
201900038484,22,6,2019,7:05,1,93,93064,2,1,1,3,KENNEDY (AVENUE DU PRESIDENT),48,
201900038485,22,6,2019,21:00,1,93,93077,2,1,1,1,CLEMENCEAU (RUE),48,
201900038486,20,6,2019,21:00,1,93,93077,2,1,7,2,GRANDE RUE,48,
201900038487,21,6,2019,13:05,1,93,93055,2,2,1,3,FORMAGNE,48,
201900038488,22,6,2019,19:00,1,93,93053,2,3,1,5,CLOCHER (AVENUE DU),48,
201900038489,21,6,2019,17:37,1,93,93053,2,3,1,3,VAILLANT COUTURIER (RUE),48,
201900038490,22,6,2019,15:15,1,93,93033,2,1,1,2,NATIONALE NUMERO 34 (ROUTE),48,
